Nat,Name,HP,Atk,Def,SpA,SpD,Spe,Total,TypeI,TypeII
81,Magnemite,25,35,70,95,55,45,325,Electric,Steel
82,Magneton,50,60,95,120,70,70,465,Electric,Steel
462,Magnezone,70,70,115,130,90,60,535,Electric,Steel
296,Makuhita,72,60,30,20,30,25,237,Fighting,
473,Mamoswine,110,130,80,70,60,80,530,Ice,Ground
490,Manaphy,100,100,100,100,100,100,600,Water,
630,Mandibuzz,110,65,105,55,95,80,510,Dark,Flying
310,Manectric,70,75,60,105,60,105,475,Electric,
56,Mankey,40,80,35,35,45,70,305,Fighting,
226,Mantine,65,40,70,80,140,70,465,Water,Flying
458,Mantyke,45,20,50,60,120,50,345,Water,Flying
556,Maractus,75,86,67,106,67,60,461,Grass,
179,Mareep,55,40,40,65,45,35,280,Electric,
183,Marill,70,20,50,20,50,40,250,Water,
105,Marowak,60,80,110,50,80,45,425,Ground,
259,Marshtomp,70,85,70,60,70,50,405,Water,Ground
284,Masquerain,70,60,62,80,82,60,414,Bug,Flying
303,Mawile,50,85,85,55,55,50,380,Steel,
308,Medicham,60,60,75,60,75,80,410,Fighting,Psychic
307,Meditite,30,40,55,40,55,60,280,Fighting,Psychic
154,Meganium,80,82,100,83,100,80,525,Grass,
648,Meloetta (A),100,77,77,128,128,90,600,Normal,Psychic
52,Meowth,40,45,35,40,40,90,290,Normal,
481,Mesprit,80,105,105,105,105,80,580,Psychic,
376,Metagross,80,135,130,95,90,70,600,Steel,Psychic
375,Metang,60,75,100,55,80,50,420,Steel,Psychic
11,Metapod,50,20,55,25,25,30,205,Bug,
151,Mew,100,100,100,100,100,100,600,Psychic,
150,Mewtwo,106,110,90,154,90,130,680,Psychic,
619,Mienfoo,45,85,50,55,50,65,350,Fighting,
620,Mienshao,65,125,60,95,60,105,510,Fighting,
262,Mightyena,70,90,70,60,60,70,420,Dark,
350,Milotic,95,60,79,100,125,81,540,Water,
241,Miltank,95,80,105,40,70,100,490,Normal,
439,Mime Jr.,20,25,45,70,90,60,310,Psychic,
572,Minccino,55,50,40,40,40,75,300,Normal,
312,Minun,60,40,50,75,85,95,405,Electric,
200,Misdreavus,60,60,60,85,85,85,435,Ghost,
429,Mismagius,60,60,60,105,105,105,495,Ghost,
146,Moltres,90,100,90,125,85,90,580,Fire,Flying
391,Monferno,64,78,52,78,52,81,405,Fire,Fighting
414,Mothim,70,94,50,94,50,66,424,Bug,Flying
122,Mr. Mime,40,45,65,100,120,90,460,Psychic,
258,Mudkip,50,70,50,50,50,40,310,Water,
89,Muk,105,105,75,65,100,50,500,Poison,
446,Munchlax,135,85,40,40,85,5,390,Normal,
517,Munna,76,25,45,67,55,24,292,Psychic,
198,Murkrow,60,85,42,85,42,91,405,Dark,Flying
518,Musharna,116,55,85,107,95,29,487,Psychic,
177,Natu,40,50,45,70,45,70,320,Psychic,Flying
34,Nidoking,81,92,77,85,75,85,495,Poison,Ground
31,Nidoqueen,90,82,87,75,85,76,495,Poison,Ground
29,Nidoran ♀,55,47,52,40,40,41,275,Poison,
32,Nidoran ♂,46,57,40,40,40,50,273,Poison,
30,Nidorina,70,62,67,55,55,56,365,Poison,
33,Nidorino,61,72,57,55,55,65,365,Poison,
290,Nincada,31,45,90,30,30,40,266,Bug,Ground
38,Ninetales,73,76,75,81,100,100,505,Fire,
291,Ninjask,61,90,45,50,50,160,456,Bug,Flying
164,Noctowl,100,50,50,76,96,70,442,Normal,Flying
299,Nosepass,30,45,135,45,90,30,375,Rock,
322,Numel,60,60,40,65,45,35,305,Fire,Ground
274,Nuzleaf,70,70,40,60,40,60,340,Grass,Dark
224,Octillery,75,105,75,105,75,45,480,Water,
43,Oddish,45,50,55,75,65,30,320,Grass,Poison
138,Omanyte,35,40,100,90,55,35,355,Rock,Water
139,Omastar,70,60,125,115,70,55,495,Rock,Water
95,Onix,35,45,160,30,45,70,385,Rock,Ground
501,Oshawott,55,55,45,63,45,45,308,Water,
417,Pachirisu,60,45,70,45,90,95,405,Electric,
484,Palkia,90,120,100,150,120,100,680,Water,Dragon
536,Palpitoad,75,65,55,65,55,69,384,Water,Ground
515,Panpour,50,53,48,53,48,64,316,Water,
511,Pansage,50,53,48,53,48,64,316,Grass,
513,Pansear,50,53,48,53,48,64,316,Fire,
46,Paras,35,70,55,45,55,25,285,Bug,Grass
47,Parasect,60,95,80,60,80,30,405,Bug,Grass
504,Patrat,45,55,39,35,39,42,255,Normal,
624,Pawniard,45,85,70,40,40,60,340,Dark,Steel
279,Pelipper,60,50,100,85,70,65,430,Water,Flying
53,Persian,65,70,60,65,65,115,440,Normal,
548,Petilil,45,35,50,70,50,30,280,Grass,
231,Phanpy,90,60,60,40,40,40,330,Ground,
489,Phione,80,80,80,80,80,80,480,Water,
172,Pichu,20,40,15,35,35,60,205,Electric,
18,Pidgeot,83,80,75,70,70,91,469,Normal,Flying
17,Pidgeotto,63,60,55,50,50,71,349,Normal,Flying
16,Pidgey,40,45,40,35,35,56,251,Normal,Flying
519,Pidove,50,55,50,36,30,43,264,Normal,Flying
499,Pignite,90,93,55,70,55,55,418,Fire,Fighting
25,Pikachu,35,55,30,50,40,90,300,Electric,
221,Piloswine,100,100,80,60,60,50,450,Ice,Ground
204,Pineco,50,65,90,35,35,15,290,Bug,
127,Pinsir,65,125,100,55,70,85,500,Bug,
393,Piplup,53,51,53,61,56,40,314,Water,
311,Plusle,60,50,40,85,75,95,405,Electric,
186,Politoed,90,75,75,90,100,70,500,Water,
60,Poliwag,40,50,40,40,40,90,300,Water,
61,Poliwhirl,65,65,65,50,50,90,385,Water,
62,Poliwrath,90,85,95,70,90,70,500,Water,Fighting
77,Ponyta,50,85,55,65,65,90,410,Fire,
261,Poochyena,35,55,35,30,30,35,220,Dark,
137,Porygon,65,60,70,85,75,40,395,Normal,
233,Porygon2,85,80,90,105,95,60,515,Normal,
474,Porygon-Z,85,80,70,135,75,90,535,Normal,
57,Primeape,65,105,60,60,70,95,455,Fighting,
394,Prinplup,64,66,68,81,76,50,405,Water,
476,Probopass,60,55,145,75,150,40,525,Rock,Steel
54,Psyduck,50,52,48,65,50,55,320,Water,
247,Pupitar,70,84,70,65,70,51,410,Rock,Ground
509,Purrloin,41,50,37,50,37,66,281,Dark,
432,Purugly,71,82,64,64,59,112,452,Normal,
195,Quagsire,95,85,85,65,65,35,430,Water,Ground
156,Quilava,58,64,58,80,65,80,405,Fire,
211,Qwilfish,65,95,75,55,55,85,430,Water,Poison
26,Raichu,60,90,55,90,80,100,475,Electric,
243,Raikou,90,85,75,115,100,115,580,Electric,
280,Ralts,28,25,25,45,35,40,198,Psychic,
409,Rampardos,97,165,60,65,50,58,495,Rock,
78,Rapidash,65,100,70,80,80,105,500,Fire,
20,Raticate,55,81,60,50,70,97,413,Normal,
19,Rattata,30,56,35,25,35,72,253,Normal,
384,Rayquaza,105,150,90,150,90,95,680,Dragon,Flying
378,Regice,80,50,100,100,200,50,580,Ice,
486,Regigigas,110,160,110,80,110,100,670,Normal,
377,Regirock,80,100,200,50,100,50,580,Rock,
379,Registeel,80,75,150,75,150,50,580,Steel,
369,Relicanth,100,90,130,45,65,55,485,Water,Rock
223,Remoraid,35,65,35,65,35,65,300,Water,
643,Reshiram,100,120,100,150,120,90,680,Dragon,Fire
579,Reuniclus,110,65,75,125,85,30,490,Psychic,
112,Rhydon,105,130,120,45,45,40,485,Ground,Rock
111,Rhyhorn,80,85,95,30,30,25,345,Ground,Rock
464,Rhyperior,115,140,130,55,55,40,535,Ground,Rock
447,Riolu,40,70,40,35,40,60,285,Fighting,
524,Roggenrola,55,75,85,25,25,15,280,Rock,
315,Roselia,50,60,45,100,80,65,400,Grass,Poison
407,Roserade,60,70,55,125,105,90,505,Grass,Poison
479,Rotom,50,50,77,95,77,91,440,Electric,Ghost
627,Rufflet,70,83,50,37,50,60,350,Normal,Flying
302,Sableye,50,75,75,65,65,50,380,Dark,Ghost
373,Salamence,95,135,80,110,80,100,600,Dragon,Flying
503,Samurott,95,100,85,108,70,70,528,Water,
551,Sandile,50,72,35,35,35,65,292,Ground,Dark
27,Sandshrew,50,75,85,20,30,40,300,Ground,
28,Sandslash,75,100,110,45,55,65,450,Ground,
539,Sawk,75,125,75,30,75,85,465,Fighting,
586,Sawsbuck,80,100,70,60,70,95,475,Normal,Grass
254,Sceptile,70,85,65,105,85,120,530,Grass,
212,Scizor,70,130,100,55,80,65,500,Bug,Steel
545,Scolipede,60,90,89,55,69,112,475,Bug,Poison
560,Scrafty,65,90,115,45,115,58,488,Dark,Fighting
559,Scraggy,50,75,70,35,70,48,348,Dark,Fighting
123,Scyther,70,110,80,55,80,105,500,Bug,Flying
117,Seadra,55,65,95,95,45,85,440,Water,
119,Seaking,80,92,65,65,80,68,450,Water,
364,Sealeo,90,60,70,75,70,45,410,Ice,Water
273,Seedot,40,40,50,30,30,30,220,Grass,
86,Seel,65,45,55,45,70,45,325,Water,
537,Seismitoad,105,85,75,85,75,74,499,Water,Ground
161,Sentret,35,46,34,35,45,20,215,Normal,
497,Serperior,75,75,95,75,95,113,528,Grass,
496,Servine,60,60,75,60,75,83,413,Grass,
336,Seviper,73,100,60,100,60,65,458,Poison,
540,Sewaddle,45,53,70,40,60,42,310,Bug,Grass
319,Sharpedo,70,120,40,95,40,95,460,Water,Dark
492,Shaymin,100,100,100,100,100,100,600,Grass,
292,Shedinja,1,90,45,30,30,40,236,Bug,Ghost
372,Shelgon,65,95,100,60,50,50,420,Dragon,
90,Shellder,30,65,100,45,25,40,305,Water,
422,Shellos,76,48,48,57,62,34,325,Water,
616,Shelmet,50,40,85,40,65,25,305,Bug,
410,Shieldon,30,42,118,42,88,30,350,Rock,Steel
275,Shiftry,90,100,60,90,60,80,480,Grass,Dark
403,Shinx,45,65,34,40,34,45,263,Electric,
285,Shroomish,60,40,60,40,60,35,295,Grass,
213,Shuckle,20,10,230,10,230,5,505,Bug,Rock
353,Shuppet,44,75,35,63,33,45,295,Ghost,
561,Sigilyph,72,58,80,103,80,97,490,Psychic,Flying
266,Silcoon,50,35,55,25,25,15,205,Bug,
516,Simipour,75,98,63,98,63,101,498,Water,
512,Simisage,75,98,63,98,63,101,498,Grass,
514,Simisear,75,98,63,98,63,101,498,Fire,
227,Skarmory,65,80,140,40,70,70,465,Steel,Flying
188,Skiploom,55,45,50,45,65,80,340,Grass,Flying
300,Skitty,50,45,45,35,35,50,260,Normal,
451,Skorupi,40,50,90,30,55,65,330,Poison,Bug
435,Skuntank,103,93,67,71,61,84,479,Poison,Dark
289,Slaking,150,160,100,95,65,100,670,Normal,
287,Slakoth,60,60,60,35,35,30,280,Normal,
80,Slowbro,95,75,110,100,80,30,490,Water,Psychic
199,Slowking,95,75,80,100,110,30,490,Water,Psychic
79,Slowpoke,90,65,65,40,40,15,315,Water,Psychic
218,Slugma,40,40,40,70,40,20,250,Fire,
235,Smeargle,55,20,35,20,45,75,250,Normal,
238,Smoochum,45,30,15,85,65,65,305,Ice,Psychic
215,Sneasel,55,95,55,35,75,115,430,Dark,Ice
495,Snivy,45,45,55,45,55,63,308,Grass,
143,Snorlax,160,110,65,65,110,30,540,Normal,
361,Snorunt,50,50,50,50,50,50,300,Ice,
459,Snover,60,62,50,62,60,40,334,Ice,Grass
209,Snubbull,60,80,50,40,40,30,300,Normal,
577,Solosis,45,30,40,105,50,20,290,Psychic,
338,Solrock,70,95,85,55,65,70,440,Rock,Psychic
21,Spearow,40,60,30,31,31,70,262,Normal,Flying
363,Spheal,70,40,50,55,50,25,290,Ice,Water
167,Spinarak,40,60,40,40,40,30,250,Bug,Poison
327,Spinda,60,60,60,60,60,60,360,Normal,
442,Spiritomb,50,92,108,92,108,35,485,Ghost,Dark
325,Spoink,60,25,35,70,80,60,330,Psychic,
7,Squirtle,44,48,65,60,54,43,314,Water,
234,Stantler,73,95,62,85,65,85,465,Normal,
398,Staraptor,85,120,70,50,50,100,475,Normal,Flying
397,Staravia,55,75,50,40,40,80,340,Normal,Flying
396,Starly,40,55,30,30,30,60,245,Normal,Flying
121,Starmie,60,75,85,100,85,115,520,Water,Psychic
120,Staryu,30,45,55,70,55,85,340,Water,
208,Steelix,75,85,200,55,65,30,510,Steel,Ground
508,Stoutland,85,100,90,45,90,80,490,Normal,
618,Stunfisk,109,66,84,81,99,32,471,Ground,Electric
434,Stunky,63,63,47,41,41,74,329,Poison,Dark
185,Sudowoodo,70,100,115,30,65,30,410,Rock,
245,Suicune,100,75,115,90,115,85,580,Water,
192,Sunflora,75,75,55,105,85,30,425,Grass,
191,Sunkern,30,30,30,30,30,30,180,Grass,
283,Surskit,40,30,32,50,52,65,269,Bug,Water
333,Swablu,45,40,60,40,75,50,310,Normal,Flying
541,Swadloon,55,63,90,50,80,42,380,Bug,Grass
317,Swalot,100,73,83,73,83,55,467,Poison,
260,Swampert,100,110,90,85,90,60,535,Water,Ground
581,Swanna,75,87,63,87,63,98,473,Water,Flying
277,Swellow,60,85,60,50,50,125,430,Normal,Flying
220,Swinub,50,50,40,30,30,50,250,Ice,Ground
528,Swoobat,67,57,55,77,55,114,425,Psychic,Flying
276,Taillow,40,55,30,30,30,85,270,Normal,Flying
114,Tangela,65,55,115,100,40,60,435,Grass,
465,Tangrowth,100,100,125,110,50,50,535,Grass,
128,Tauros,75,100,95,40,70,110,490,Normal,
216,Teddiursa,60,80,50,50,50,40,330,Normal,
72,Tentacool,40,40,35,50,100,70,335,Water,Poison
73,Tentacruel,80,70,65,80,120,100,515,Water,Poison
498,Tepig,65,63,45,45,45,45,308,Fire,
639,Terrakion,91,129,90,72,90,108,580,Rock,Fighting
538,Throh,120,100,85,30,85,45,465,Fighting,
642,Thundurus,79,115,70,125,80,111,580,Electric,Flying
532,Timburr,75,80,55,25,35,35,305,Fighting,
564,Tirtouga,54,78,103,53,45,22,355,Water,Rock
468,Togekiss,85,50,95,120,115,80,545,Normal,Flying
175,Togepi,35,20,65,40,65,20,245,Normal,
176,Togetic,55,40,85,80,105,40,405,Normal,Flying
255,Torchic,45,60,40,70,50,45,310,Fire,
324,Torkoal,70,85,140,85,70,20,470,Fire,
641,Tornadus,79,115,70,125,80,111,580,Flying,
389,Torterra,95,109,105,75,85,56,525,Grass,Ground
158,Totodile,50,65,64,44,48,43,314,Water,
454,Toxicroak,83,106,65,86,65,85,490,Poison,Fighting
520,Tranquill,62,77,62,50,42,65,358,Normal,Flying
328,Trapinch,45,100,45,45,45,10,290,Ground,
252,Treecko,40,45,35,65,55,70,310,Grass,
357,Tropius,99,68,83,72,87,51,460,Grass,Flying
568,Trubbish,50,50,62,40,62,65,329,Poison,
387,Turtwig,55,68,64,45,55,31,318,Grass,
535,Tympole,50,50,40,50,40,64,294,Water,
602,Tynamo,35,55,40,45,40,60,275,Electric,
157,Typhlosion,78,84,78,109,85,100,534,Fire,
248,Tyranitar,100,134,110,95,100,61,600,Rock,Dark
236,Tyrogue,35,35,35,35,35,35,210,Fighting,
197,Umbreon,95,65,110,60,130,65,525,Dark,
521,Unfezant,80,105,80,65,55,93,478,Normal,Flying
201,Unown,48,72,48,72,48,48,336,Psychic,
217,Ursaring,90,130,75,75,75,55,500,Normal,
480,Uxie,75,75,130,75,130,95,580,Psychic,
583,Vanillish,51,65,65,80,75,59,395,Ice,
582,Vanillite,36,50,50,65,60,44,305,Ice,
584,Vanilluxe,71,95,85,110,95,79,535,Ice,
134,Vaporeon,130,65,60,110,95,65,525,Water,
543,Venipede,30,45,59,30,39,57,260,Bug,Poison
49,Venomoth,70,65,60,90,75,90,450,Bug,Poison
48,Venonat,60,55,50,40,55,45,305,Bug,Poison
3,Venusaur,80,82,83,100,100,80,525,Grass,Poison
416,Vespiquen,70,80,102,80,102,40,474,Bug,Flying
329,Vibrava,50,70,50,50,50,70,340,Ground,Dragon
494,Victini,100,100,100,100,100,100,600,Psychic,Fire
71,Victreebel,80,105,65,100,60,70,480,Grass,Poison
288,Vigoroth,80,80,80,55,55,90,440,Normal,
45,Vileplume,75,80,85,100,90,50,480,Grass,Poison
640,Virizion,91,90,72,90,129,108,580,Grass,Fighting
313,Volbeat,65,73,55,47,75,85,400,Bug,
637,Volcarona,85,60,65,135,105,100,550,Bug,Fire
100,Voltorb,40,30,50,55,55,100,330,Electric,
629,Vullaby,70,55,75,45,65,60,370,Dark,Flying
37,Vulpix,38,41,40,50,65,65,299,Fire,
320,Wailmer,130,70,35,70,35,60,400,Water,
321,Wailord,170,90,45,90,45,60,500,Water,
365,Walrein,110,80,90,95,90,65,530,Ice,Water
8,Wartortle,59,63,80,65,80,58,405,Water,
505,Watchog,60,85,69,60,69,77,420,Normal,
461,Weavile,70,120,65,45,85,125,510,Dark,Ice
13,Weedle,40,35,30,20,20,50,195,Bug,Poison
70,Weepinbell,65,90,50,85,45,55,390,Grass,Poison
110,Weezing,65,90,120,85,70,60,490,Poison,
547,Whimsicott,60,67,85,77,75,116,480,Grass,
544,Whirlipede,40,55,99,40,79,47,360,Bug,Poison
340,Whiscash,110,78,73,76,71,60,468,Water,Ground
293,Whismur,64,51,23,51,23,28,240,Normal,
40,Wigglytuff,140,70,45,75,50,45,425,Normal,
278,Wingull,40,30,30,55,30,85,270,Water,Flying
202,Wobbuffet,190,33,58,33,58,33,405,Psychic,
527,Woobat,55,45,43,55,43,72,313,Psychic,Flying
194,Wooper,55,45,45,25,25,15,210,Water,Ground
413,Wormadam (P),60,59,85,79,105,36,424,Bug,Grass
265,Wurmple,45,45,35,20,30,20,195,Bug,
360,Wynaut,95,23,48,23,48,23,260,Psychic,
178,Xatu,65,75,70,95,70,95,470,Psychic,Flying
562,Yamask,38,30,85,55,65,30,303,Ghost,
193,Yanma,65,65,45,75,45,95,390,Bug,Flying
469,Yanmega,86,76,86,116,56,95,515,Bug,Flying
335,Zangoose,73,115,60,60,60,90,458,Normal,
145,Zapdos,90,90,85,125,90,100,580,Electric,Flying
523,Zebstrika,75,100,63,80,63,116,497,Electric,
644,Zekrom,100,150,120,120,100,90,680,Dragon,Electric
263,Zigzagoon,38,30,41,30,41,60,240,Normal,
571,Zoroark,60,105,60,120,60,105,510,Dark,
570,Zorua,40,65,40,80,40,65,330,Dark,
41,Zubat,40,45,35,30,40,55,245,Poison,Flying
634,Zweilous,72,85,70,65,70,58,420,Dark,Dragon
